place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Change since 2019,Change since 2010,2022 rate per 100K
Porterville^Tulare County^,4,2,3,8,4,2,0,4,3,2,3,2,6,200,50,9.6
Visalia^Tulare County^,6,8,5,8,10,6,8,9,3,4,8,14,9,125,50,6.4
Huron^Fresno County^,0,0,1,1,0,1,1,3,0,0,0,0,0,NA,NA,0
Kerman^Fresno County^,1,1,0,0,0,0,0,0,1,0,0,0,0,NA,-100,0
Chowchilla^Madera County^,0,0,0,0,0,0,0,0,3,0,1,1,0,NA,NA,0
Merced^Merced County^,7,8,9,5,13,11,1,8,1,5,7,13,6,20,-14.3,7
Coalinga^Fresno County^,0,1,0,0,0,0,0,0,2,0,1,0,0,NA,NA,0
Fowler^Fresno County^,0,0,0,0,0,0,0,0,0,1,0,0,0,-100,NA,0
Clovis^Fresno County^,2,4,3,0,1,1,2,0,1,0,1,5,2,NA,0,1.7
Firebaugh^Fresno County^,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
Kingsburg^Fresno County^,1,0,1,0,0,0,0,0,0,0,0,1,1,NA,0,8.1
Sanger^Fresno County^,2,2,3,2,0,1,3,2,1,0,2,1,1,NA,-50,3.8
Madera^Madera County^,8,1,2,7,6,3,3,4,6,2,4,1,2,0,-75,3
Atwater^Merced County^,4,0,2,1,0,3,1,0,2,1,4,3,5,400,25,15.6
Dos Palos^Merced County^,1,0,1,1,0,1,0,2,0,0,0,0,0,NA,-100,0
Los Banos^Merced County^,2,3,1,1,1,1,1,2,1,2,9,2,1,-50,-50,2.2
Exeter^Tulare County^,0,1,0,1,0,0,0,1,0,0,1,1,3,NA,NA,29.1
Lindsay^Tulare County^,0,1,0,0,1,1,0,2,1,0,1,0,0,NA,NA,0
Tulare^Tulare County^,5,5,6,6,6,10,6,2,3,4,5,5,9,125,80,13.1
Avenal^Kings County^,2,1,1,0,0,2,3,1,1,0,1,0,0,NA,-100,0
Corcoran^Kings County^,0,1,0,0,0,0,2,1,0,1,2,2,3,200,NA,13.5
Lemoore^Kings County^,0,2,0,0,1,0,0,3,0,1,1,2,0,-100,NA,0
Woodlake^Tulare County^,1,1,1,1,0,2,0,1,0,0,0,1,0,NA,-100,0
Mendota^Fresno County^,0,2,0,1,0,2,4,0,0,1,0,0,0,-100,NA,0
Parlier^Fresno County^,0,3,0,2,1,1,0,1,3,0,2,3,1,NA,NA,6.8
Selma^Fresno County^,0,0,2,0,0,4,1,3,3,3,1,2,0,-100,NA,0
Farmersville^Tulare County^,3,1,1,0,2,0,0,0,3,0,2,1,0,NA,-100,0
Hanford^Kings County^,0,2,2,2,1,1,2,2,2,0,5,4,3,NA,NA,5.2
Dinuba^Tulare County^,1,0,0,0,1,1,0,1,0,1,0,2,1,0,0,4.1
Reedley^Fresno County^,2,1,0,0,0,1,0,0,3,1,0,3,3,200,50,11.9
Livingston^Merced County^,0,0,2,2,0,1,0,0,0,0,1,0,3,NA,NA,21.1
Gustine^Merced County^,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,0
Orange Cove^Fresno County^,NA,NA,NA,0,0,1,1,5,1,0,0,0,0,NA,NA,0
City of Fresno^Fresno County^,45,35,51,40,47,39,39,56,32,35,77,60,61,74.3,35.6,11.3
Fresno Co. Sheriff's Department^Fresno County^,10,6,15,11,10,8,12,15,7,14,10,12,14,0,40,8.4
Kings Co. Sheriff's Department^Kings County^,1,2,1,4,5,2,4,2,2,2,2,2,5,150,400,15.9
Madera Co. Sheriff's Department^Madera County^,2,4,0,6,3,1,4,3,3,1,4,3,3,200,50,4.2
Mariposa Co. Sheriff's Department^Mariposa County^,0,0,3,0,0,0,0,0,0,0,0,5,1,NA,NA,5.8
Merced Co. Sheriff's Department^Merced County^,12,2,8,17,15,10,2,7,5,4,3,9,20,400,66.7,21.9
Tulare Co. Sheriff's Department^Tulare County^,15,20,17,18,12,23,19,13,13,9,9,16,16,77.8,6.7,11.9
